STT,Câu hỏi,1,2,3,4,Đáp án
245,Cán bộ ngân hàng cần có “Sự cẩn trọng” trong công việc như thế nào theo quy định “Bộ chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ ngân hàng”?,"Phải rèn luyện tính tự giác và chù động, sự tìm tòi, sáng tạo để nâng cao nâng suất, chất lượng và hiệu quả công tác.","Phải thường xuyên học hỏi, tích lũy kinh nghiệm, nâng cao kiến thức.","Không được chù quan, liều lĩnh, không được dễ dãi, cả tin.",Báo cáo kịp thời với cấp có thẩm quyền khi phát hiện hành vi vi phạm và gây hại cho lợi ích chung.,3
246,Cán bộ ngân hàng cần có “Ý thức bảo mật thông tin” như thế nào theo quy định tại “Bộ chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ ngân hàng” do Hội đồng Hiệp hội Ngân hàng Việt Nam ban hành?,"Không được tham ô, vụ lợi.","Lưu trữ, bảo quản hồ sơ, tài liệu của ngân hàng theo đúng quy định.","Tránh để bị tác động, can thiệp dẫn tới làm trái quy định pháp luật.","Không bảo thủ, cứng nhắc, gây cản trở cho đổi mới, sáng tạo.",2
247,Căn cứ để Người quyết định cho vay tại Agribank nơi cho vay quyết định cho vay hay không cho vay là?,"A. Hồ sơ khoản vay, Báo cáo đề xuất cho vay, ý kiến đề xuất của Người quan hệ khách hàng, Người thẩm định, Người thẩm định lại (nếu có), Biên bản họp Hội đồng tín dụng (nếu có).","B. Báo cáo đề xuất cho vay của Người quan hệ khách hàng, Người thẩm định, Người thẩm định lại (nếu có).","C. Hồ sơ khoản vay, ý kiến đề xuất của Người quan hệ khách hàng, Người thẩm định, Người thẩm định lại (nếu có), Biên bản họp Hội đồng tín dụng (nếu có).","D. Tất cả A, B và C đều đúng.",1
248,Căn cứ để Người quyết định cho vay tại Agribank nơi cho vay xem xét quyết định cho vay hay không cho vay?,"Hồ sơ khoản vay, Báo cáo đề xuất cho vay, báo cáo thẩm định (nếu có), Báo cáo thẩm định lại (nếu có), Biên bản họp/Bảng tồng hợp ý kiến Hội đồng tín dụng (nếu có).","Báo cáo đề xuất cho vay của Người quan hệ khách hàng, Người thẩm định, Người thẩm định lại (nếu có).","Hồ sơ khoàn vay, ý kiến đề xuất của Người quan hệ khách hàng, Người thẩm định lại (nếu có), Biên bản họp Hội đồng tín dụng (nếu có).",Tất cà các đáp án trên.,1
249,Căn cứ để xác định mức cho vay:,A. Phương án sử dụng vốn vay; khả năng tài chính của khách hàng; gía trị tài sản bảo đảm (đối với khoản vay phải bảo đảm bằng tài sản); các giới hạn cấp tín dụng và khả năng nguồn vốn của Agribank.,B. Khả năng tài chính của khách hàng; gía trị tài sản bảo đảm (đối với khoản vay phải bảo đảm bằng tài sản); các giới hạn cấp tín dụng và khả năng nguồn vốn của Agribank.,C. Phương án sử dụng vốn vay; khả năng tài chính của khách hàng; các giới hạn cấp tín dụng và khả năng nguồn vốn của Agribank.,D. Phương án sử dụng vốn vay; khả năng tài chính của khách hàng; gía trị tài sản bảo đảm (đối với khoản vay phải bảo đảm bằng tài sản),1
250,Căn cứ để xác định mức cho vay?,A. Phương án sử dụng vốn vay; khả năng tài chính khách hàng;  Các giới hạn cấp tín dụng và khả năng nguồn vốn của Agribank,B. Phương án sử dụng vốn vay; khả năng tài chính khách hàng; Giá trị tài sản bảo đảm (đối với khoản vay phải bảo đảm bằng tài sản); Các giới hạn cấp tín dụng và khả năng nguồn vốn của Agribank.,C. Phương án sử dụng vốn vay; khả năng tài chính khách hàng; Giá trị tài sản bảo đảm (đối với khoản vay phải bảo đảm bằng tài sản); Các giới hạn cấp tín dụng.,D. Phương án sử dụng vốn vay; khả năng tài chính khách hàng; Giá trị tài sản bảo đảm (đối với khoản vay phải bảo đảm bằng tài sản); khả năng nguồn vốn của Agribank.,2
251,Căn cứ nào được sử dụng để xác định mức cho vay?,"A. Chênh lệch giữa tổng nhu cầu vốn của dự án đầu tư, phương án SXKD và vốn tự có tối thiểu của khách hàng; Giá trị tài sản bảo đảm.",B. Phương án sử dụng vốn vay; Khả năng tài chính của khách hàng; Giá trị tài sản đảm bảo; Các giới hạn cấp tín dụng và khả năng nguồn vốn của Agribank.,C. Phương án sử dụng vốn vay; Khả năng tài chính của khách hàng; Giá trị tài sản bảo đảm.,"D. Chênh lệch giữa tổng nhu cầu vốn của dự án đầu tư, phương án SXKD và vốn tự có tối thiểu; Khả năng hoàn trả nợ của khách hàng; Giá trị tài sản bảo đảm.",2
252,"Căn cứ vào khả năng trả nợ và mức độ ảnh hưởng của khách hàng tại biên bản xác định ảnh hưởng bởi dịch Covid-19, mức giảm lãi tối đa tương ứng bằng:","A. Bằng 3% năm (đối với VNĐ), 0,5%/năm (đối với ngoại tệ)","B. Bằng 2% năm (đối với VNĐ), 0,5%/năm (đối với ngoại tệ)","C. Bằng 1% năm (đối với VNĐ), 1%/năm (đối với ngoại tệ)","D. Bằng 1% năm (đối với VNĐ), 0,5%/năm (đối với ngoại tệ)",4
253,"Căn cứ xác định thời hạn cho vay, kỳ hạn trả nợ đối với cho vay phục vụ nhu cầu đời sống?",A. Phương án sử dụng vốn;,B. Khả năng trả nợ của khách hàng;,C. Trong thời han được phép cư trú còn lại tại Việt Nam (đối với cá nhân nước ngoài).,"D. Tất cả a, b,c đều đúng.",4
254,Cần mấy thành viên trong BQL kho tiền đi lấy lại hộp chìa khóa dự phòng cửa kho tiền?,1 thành viên,2 thành viên,3 thành viên,Không cần thành viên trong Ban quản lý kho đi lấy,2
255,"Cấp có thẩm quyền quyết định việc thành lập Trung tâm Phòng, chống rửa tiền là",Tổng Giám đốc,Hội đồng thành viên,Ban Kiểm soát,Ngân hàng Nhà nước Việt Nam,2
256,Cấp nào được cấp bảo lãnh “không hủy ngang-vô điều kiện” trong phạm vi thẩm quyền phán quyết tín dụng khi 100% giá trị khoản bảo lãnh được bảo đảm bằng tài sản?,A. Giám đốc chi nhánh loại I hạng 3 và giám đốc chi nhánh loại II;,B. Giám đốc chi nhánh loại I;,C. Giám đốc chi nhánh loại II;,D. Tổng Giám đốc.,1
257,Cấp nào được trình phê duyệt vượt thẩm quyền?,A. Phòng giao dịch.,B. Chi nhánh loại II.,C. Chi nhánh loại I.,D. Cả (B) và (C) đều đúng.,4
258,Câu 30. Tại sao việc lắng nghe không đạt hiệu quả?,A. Do không chuẩn bị.,C. Do thái độ chưa tốt.,B. Do có phán xét cá nhân.,D. Tất cả các đáp án đều đúng.,4
259,Câu chào nào sau đây không đúng theo quy định trong cẩm nang Văn hóa Agribank?,Chào sếp!,Chào Giám đốc!,Chào bác!,Chào anh!,1
260,Câu chào nào sau đây không đúng theo quy định trong Cẩm nang Văn hóa Agribank?,Chào sếp!,Chào Giám đốc!,Chào bác!,Chào anh!,1
261,Câu nào sau đây đúng?,"Các giao dịch rút gốc một phần, lĩnh lãi phải photo sổ tiết kiệm đóng kèm chứng từ giao dịch","Các giao dịch rút gốc một phần, lĩnh lãi không phải photo sổ tiết kiệm đóng kèm chứng từ giao dịch","Trường hợp khác đơn vị phát hành sổ tiết kiệm, các giao dịch rút gốc một phần lĩnh lãi phải photo sổ tiết kiệm đóng kèm chứng từ giao dịch.",Không có đáp án đúng,3
262,"Chấm điểm chuyên đề phòng, chống rửa tiền là nhiệm vụ của phòng nào thuộc Trung tâm Phòng, chống rửa tiền?",Phòng Tổng hợp,Phòng Thu thập và xử lý thông tin,"Phòng Kiểm tra, giám sát",,1
263,"Chậm nhất bao nhiêu ngày làm việc kể từ ngày Agribnak nơi cấp bảo lãnh nhận được văn bản yêu cầu thực hiện nghĩa vụ bảo lãnh hợp lệ theo quy định trong trường hợp bảo lãnh ngân hàng (trừ trường hợp bảo lãnh đối ứng, bảo lãnh trên cở đối ứng, xác nhận bảo lãnh):",A. Chậm nhất say 7 ngày làm việc;,B. Chậm nhất sau 5 ngày làm việc;,C. Chậm nhất sau 10 ngày làm việc;,D. Chậm nhất sau 1 tuần làm việc.,2
264,Chi nhánh Agribank khác nơi mở tài khoản thanh toán được phép thực hiện nội dung nào liên quan đến tài khoản thanh toán theo yêu cầu của khách hàng?,"Gửi, rút tiền tuân thủ quy định hiện hành của Agribank về gửi, rút tiền nhiều nơi.",Đóng tài khoản thanh toán của khách hàng,"Tạm khóa, phong tỏa tài khoản thanh toán.","Gửi, rút tiền tuân thủ quy định hiện hành của Agribank về gửi, rút tiền nhiều nơi; Tạm khóa, phong tỏa tài khoản thanh toán.",4
265,Chi nhánh chưa đủ điều kiện xếp hạng có các phòng nào?,"A. Kế hoạch kinh doanh, Kế toán và Ngân quỹ, Dịch vụ và Marketing, Tổng hợp","B. Kế hoạch kinh doanh, Kế toán và Ngân quỹ, Tổng hợp","C. Kế hoạch kinh doanh, Kế toán và Ngân quỹ, Dịch vụ và Marketing, Tổng hợp, Điện toán","D. Kế hoạch kinh doanh, Kế toán và Ngân quỹ, Dịch vụ và Marketing, Tổng hợp, Kiểm tra, kiểm soát nội bộ",2
266,Chi nhánh chuyển thẻ sang trạng thái nào trên hệ thống FIMI khi  nhận được yêu cầu về việc tạm ngừng sử dụng thẻ của chủ thẻ ?,Open,Stolen,Not active,Closed,3
267,Chi nhánh chuyển thẻ sang trạng thái thẻ nào trên hệ thống FIMI khi nhận được yêu cầu về việc tạm ngừng sử dụng thẻ của chủ thẻ ?,Open.,Stolen.,Not active.,Closed.,3
268,Chi nhánh hạng 2 không có phòng nghiệp vụ nào?,A. Phòng Khách hàng doanh nghiệp.,B. Phòng Dịch vụ và Marketing.,C. Phòng Kế hoạch - Nguồn vốn.,"D. Phòng Kế hoạch, kinh doanh.",1
269,Chi nhánh hạng 3 không có phòng nghiệp vụ nào?,A. Phòng Kế toán và Ngân quỹ,B. Phòng Dịch vụ và Marketing,C. Phòng Điện toán,"D. Phòng Kiểm tra, kiểm soát nội bộ",3
270,"Chi nhánh hẹn trả lời khách hàng tra soát, khiếu nại giao dịch rút tiền tại ATM qua hệ thống Napas trong vòng bao nhiêu ngày làm việc kể từ ngày nhận yêu cầu tra soát?",Tối đa 05 ngày làm việc.,Tối đa 06 ngày làm việc.,Tối đa 07 ngày làm việc.,Tối đa 08 ngày làm việc.,3
271,Chi nhánh loại I được phép thực hiện giao dịch hoán đổi với đối tượng nào dưới đây?,A. Người cư trú là tổ chức khác và cá nhân,"B. Người không cư trú là tổ chức kinh tế, tổ chức khác và cá nhân.",C. Người cư trú là cá nhân,D. Người cư trú là tổ chức kinh tế,4
272,Chi nhánh loại II không thanh toán quốc tế trực tiếp và Phòng giao dịch có mã đơn vị riêng không được phép trực tiếp thực hiện:,A. Mua ngoại tệ giao ngay với người không cư trú là tổ chức và cá nhân.,"B. Mua ngoại tệ giao ngay, mua ngoại tệ kỳ hạn với người cư trú là tổ chức kinh tế, tổ chức khác và cá nhân.","C. Bán ngoại tệ kỳ hạn với người cư trú là tổ chức kinh tế, tổ chức khác và cá nhân.",D. Mua bán ngoại tệ với Chi nhánh loại I quản lý trực tiếp.,3
273,Chi nhánh loại II thanh toán quốc tế trực tiếp không được phép thực hiện:,A. Giao dịch mua bán ngoại tệ với Trung tâm Vốn,B. Giao dịch mua bán ngoại tệ với Người cư trú là tổ chức kinh tế,C. Giao dịch mua bán ngoại tệ với Phòng giao dịch có mã đơn vị riêng,D. Giao dịch mua bán ngoại tệ với Chi nhánh loại I quản lý trực tiếp,3
274,Chi nhánh nào sau đây được phép bán ngoại tệ cho khách hàng là tổ chức kinh tế để thanh toán xuất nhập khẩu?,A. Chi nhánh loại II thanh toán quốc tế trực tiếp.,B. Không chi nhánh nào được phép.,C. Chi nhánh loại I và Chi nhánh loại II thanh toán quốc tế trực tiếp.,D. Chi nhánh loại I.,3
275,Chi nhánh nào sau đây được ưu tiên là đơn vị đầu mối theo Quy định số 1566/QyĐ-NHNo-CSKH ngày 30/6/2023?,Theo các văn bản/thỏa thuận hợp tác Agribank/Chi nhánh đã ký với khách hàng,Chi nhánh được khách hàng đề nghị bằng văn bản,"Chi nhánh được Hội đồng thành viên, Tổng Giám đốc giao",,3
276,Chi nhánh nào sau đây thực hiện không đúng quy định trả tiền lương cho người lao động trong thời gian thử việc:,A. Chi nhánh D trả 95% mức lương khởi điểm của công việc,B. Chi nhánh A trả 80% mức lương khởi điểm của công việc,C. Chi nhánh C trả 90% mức lương khởi điểm của công việc,D. Chi nhánh B trả 85% mức lương khởi điểm của công việc,2
277,Chi nhánh nào sau đây thực hiện không đúng quy định trả tiền lương cho người lao động trong thời gian thử việc: (VB 8386 ngày 27/9/2021: tối thiểu 85%),A. Chi nhánh C trả 90% mức lương khởi điểm của công việc,B. Chi nhánh B trả 85% mức lương khởi điểm của công việc,C. Chi nhánh D trả 95% mức lương khởi điểm của công việc,D. Chi nhánh A trả 80% mức lương khởi điểm của công việc,4
278,Chi nhánh phải duy trì số dư nợ gốc tối thiểu trên hợp đồng tín dụng/giấy nhận nợ (giải ngân từ 2 lần trở lên) đối với khách hàng là cá nhân theo mức:,1.000.000 VNĐ,500.000 VNĐ,200.000VND,100.000VND,4
279,Chi nhánh phải duy trì số dư nợ gốc tối thiểu trên hợp đồng tín dụng/giấy nhận nợ (giải ngân từ 2 lần trở lên) đối với khách hàng là pháp nhân và doanh nghiệp tư nhân theo mức:,1.000.000 VNĐ,2.000.000 VNĐ,5.000.000VND,10.000.000VND,1
280,Chi nhánh phải thực hiện kiểm quỹ ATM và đảm bảo tất cả các giao dịch phát sinh đã được hạch toán khi nào ?,Trước khi Điều chuyển ATM,Trước khi thanh lý ATM,Cả hai phương án 01 và 02,Không có phương án nào đúng,3
281,"Chi nhánh quản lý ATM có trách nhiệm  xác định nguyên  nhân thừa, thiếu quỹ trong phạm vi bao nhiêu ngày làm việc kể từ thời  điểm kiểm quỹ ?",04 ngày,05 ngày,06 ngày,07 ngày,2
282,Chi nhánh thực hiện hoàn trả lại lệnh thanh toán đến cho Ngân hàng phát lệnh trong trường hợp nào dưới đây,Tài khoản người nhận lệnh phong tỏa một phần,Tài khoản người nhận lệnh đã đóng,Người nhận lệnh có tài khoản tại chi nhánh khác,Tài khoản tạm khóa không hoạt động do số dư thấp hơn số dư tối thiểu và không phát sinh giao dịch trong 12 tháng,2
283,Chỉ tiêu nào không phải là tài sản ngắn hạn?,A. Hàng tồn kho.,C. Tiền và các khoản tương đương tiền.,B. Các khoản phải thu ngắn hạn.,D. Phải trả người bán ngắn hạn.,4
284,Chỉ tiêu nào không phải là tài sản?,A. Các khoản phải thu.,B. Các khoản đầu tư tài chính dài hạn.,C. Lợi nhuận chưa phân phối.,D. Các khoản đầu tư tài chính ngắn hạn.,3
285,Chỉ tiêu nào sau đây không nằm trong khoản mục tài sản ngắn hạn trên bảng cân đối kế toán?,A. Người mua trả tiền trước.,B. Sản phẩm dở dang.,C. Vật liệu.,D. Trả trước cho người bán.,1
286,Chỉ tiêu nào sau đây nằm trong khoản mục tài sản ngắn hạn trên bảng cân đối kế toán?,A. Cổ tức trả cho chủ sở hữu.,B. Nhà xưởng đang xây dựng.,C. Nguyên vật liệu mua về đang trên đường vận chuyển.,D. Tiền chi trả nhà cung cấp.,3
287,Chỉ tiêu ROE cho biết:,A. 1 đồng vốn chủ sở hữu có thể tạo ra bao nhiêu đồng lợi nhuận sau thuế.,B. 1 đồng tài sản có thể tạo ra bao nhiêu đồng lợi nhuận sau thuế.,C. 1 đồng vốn chủ sở hữu có thể tạo ra bao nhiêu đồng lợi nhuận trước lãi vay và thuế.,D. Không có đáp án nào đúng.,1
288,Chỉ tiêu ROS của doanh nghiệp thường phụ thuộc vào nhân tố nào?,A. Tổng doanh thu.,B. Tổng lợi nhuận trước thuế.,C. Giá vốn hàng bán.,D. Tất cả các đáp án trên.,1
289,"Chìa khóa của hộp sắt/tôn bảo quản chìa khóa dự phòng cửa kho tiền được Giám đốc, Thủ kho tiền bảo quản như thế nào?",Bảo quản tại két của Phó Giám đốc,Bảo quản tại két sắt của Giám đốc và Thủ kho tại nơi làm việc,Bảo quản trong két sắt của lãnh đạo phòng Kế toán và Ngân quỹ,Bảo quản tại két sắt chung trang bị cho phòng nghiệp vụ,2
290,Chìa khóa hộp tôn đựng chìa khóa dự phòng máy ATM do ai giữ?,Giám đốc/Trưởng Ban quản lý ATM,Phó phòng Dịch vụ và marketing,Phó phòng Kế toán và Ngân quỹ,Thủ kho tiền,1
291,Chìa khóa sử dụng hàng ngày của Phó Giám đốc tham gia BQL kho tiền được bảo quản ở đâu?,Trong két sắt của Phó Giám đốc khác,Trong két sắt riêng tại Trụ sở cơ quan,Trong két sắt của Giám đốc,Trong kho tiền,2
292,"Chìa khóa, mã số dự phòng két sắt của Giám đốc Chi nhánh loại I, loại II được gửi bảo quản tại đâu?",Tại két sắt của Giám đốc PGD,Két sắt của Giám đốc trực tiếp quản lý,Trong kho tiền chi nhánh,Két sắt của lãnh đạo phòng Kế toán và Ngân quỹ,3
293,Chính sách chăm sóc khách hàng trong hệ thống Agribank áp dụng cho những đối tượng khách hàng nào?,Khách hàng cá nhân,"Khách hàng cá nhân, tổ chức","Khách hàng cá nhân, tổ chức (Khách hàng là định chế tài chính thực hiện theo quy định riêng).",Khách hàng tổ chức,3
294,"Chính sách tặng quà, thăm hỏi đối với khách hàng tổ chức Vip hạng Platinum cụ thể như thế nào?","Khách hàng được gửi bưu thiếp, tặng hoa nhân ngày sinh nhật","Khách hàng được tặng quà nhân dịp Lễ, tết","Khách hàng được gửi bưu thiếp, tặng hoa nhân dịp lễ tết.","Khách hàng được gửi thư/bưu thiếp chúc mừng, tặng hoa, quà… nhân dịp Lễ, Tết, ngày đặc biệt (Ngày thành lập doanh nghiệp, ngày thành lập ngành, ngày khai trương,…). Đối với lãnh đạo tổ chức (chức danh từ Kế toán trưởng trở lên): được thăm hỏi/ tặng quà, gửi tin nhắn/thư chúc mừng… nhân dịp Lễ, Tết, ngày đặc biệt đối với từng khách hàng (sinh nhật, 8/3, 21/6, 13/10, 20/10, 20/11...).",4
295,Cho vay bù đắp tài chính là:,"A. Việc Agribank cho khách hàng vay để bù đắp những khoản chi phí mà khách hàng chưa sử dụng trước đó để thực hiện phương án, dự án hoạt động kinh doanh, nhu cầu vốn phục vụ đời sống.","B. Việc Agribank cho khách hàng vay để bù đắp những khoản chi phí mà khách hàng đã sử dụng sau đó để thực hiện phương án, dự án hoạt động kinh doanh, nhu cầu vốn phục vụ đời sống.","C. Việc Agribank cho khách hàng vay để bù đắp những khoản chi phí mà khách hàng đã sử dụng trước đó để thực hiện phương án, dự án hoạt động kinh doanh, nhu cầu vốn phục vụ đời sống.","D. Việc Agribank cho khách hàng vay để bù đắp những khoản chi phí mà khách hàng đã sử dụng trước đó để thực hiện chi tiêu, thanh toán cho nhu cầu cá nhân của khách hàng.",3
296,Cho vay hợp vốn là:,"A. Agribank thực hiện cho vay đối với khách hàng để nuôi trồng, chăm sóc các cây trồng, vật nuôi có tính chất mùa vụ theo chu kì sản xuất liền kề trong năm.","B. Agribank cùng ít nhất một tổ chức tín dụng khác cho vay đối với khách hàng để thực hiện một phương án, dự án vay vốn.","C. Hai hay nhiều chi nhánh của Agribank cùng cho vay đối với khách hàng để thực hiện một phương án, dự án vay vốn.",D. Cả B và C đều đúng.,2
297,"Cho vay ngắn hạn đối tượng ưu tiến theo thông tư 39/2016/TT-NHNN không được đánh gia có tình hình tài chính minh bạch, lành mạnh đối với đối tượng vay là DNNVV, mức TSC hỗ trợ cho chi nhánh lào bao nhiêu?",A. Tối đa 2%/năm;,B. Tối đa 1%/năm;,"C. Tối đa 1,5%/ năm;","D. Tối đa 2,5%/ năm.",4
298,"Cho vay ngắn hạn đối tượng ưu tiến theo Thông tư 39/2016/TT-NHNN và có tình hình tài chính minh bạch, lành mạnh, mức TSC hỗ trợ cho chi nhánh lào bao nhiêu?",A. 2%/năm;,B. 1%/năm;,"C. 1,5%/ năm;","D. 2,5%/ năm.",2
299,"Cho vay phục vụ nhu cầu đời sống, Agribank nơi cho vay có thể thỏa thuận với khách hàng về việc áp dụng từng phương thức hoặc kết hợp các phương thức cho vay?",Cho vay từng lần; Cho vay theo hạn mức; Cho vay lưu vụ.,Cho vay từng lần; Cho vay theo hạn mức; Cho vay theo hạn mức thấu chi trên tài khoản thanh toán.,Cho vay từng lần; Cho vay theo hạn mức dự phòng; Cho vay quay vòng.,Cho vay từng lần; Cho vay theo hạn mức; Cho vay theo hạn mức dự phòng.,2
300,Cho vay theo hạn mức dự phòng ?,là việc Agribank cam kết đảm bảo sẵn sàng cho khách hàng vay vốn trong phạm vi mức cho vay dự phòng đã thỏa thuận (ngoài mức tín dụng được ký ban đầu giữa ngân hàng và khách hàng).,là việc Agribank cam kết đảm bảo sẵn sàng cho khách hàng vay vốn trong phạm vi mức cho vay dự phòng đã thỏa thuận.,là việc Agribank cam kết đảm bảo sẵn sàng cho khách hàng vay vốn (ngoài mức tín dụng được ký ban đầu giữa ngân hàng và khách hàng).,là việc Agribank cam kết đảm bảo sẵn sàng cho khách hàng vay vốn vượt quá phạm vi mức cho vay dự phòng đã thỏa thuận (ngoài mức tín dụng được ký ban đầu giữa ngân hàng và khách hàng).,1
301,Cho vay theo hạn mức dự phòng là:,A. Agribank và khách hàng thỏa thuận áp dụng cho vay đối với nhu cầu vốn có chu kỳ hoạt động kinh doanh không quá 01 tháng.,B. Agribank xác định và thỏa thuận với khách hàng mức dư nợ cho vay tối đa được duy trì trong một khoảng thời gian nhất định.,C. Agribank chấp thuận cho khách hàng chi vượt số tiền có trên tài khoản thanh toán của khách hàng.,D. Agribank cam kết đảm bảo sẵn sàng cho khách hàng vay vốn trong phạm vi mức cho vay dự phòng đã thỏa thuận.,4
302,Cho vay theo hạn mức dự phòng là?,Agribank xác định và thỏa thuận với khách hàng mức dư nợ cho vay tối đa được duy trì trong một khoảng thời gian nhất định.,Agribank chấp thuận cho khách hàng chi vượt số tiền có trên tài khoản thanh toán của khách hàng.,Agribank cam kết đàm bảo sẵn sàng cho khách hàng vay vốn trong phạm vi hạn mức cho vay dự phòng đã thỏa thuận. Agribank và khách hàng thỏa thuận thời hạn hiệu lực của hạn mức cho vay dự phòng không vượt quá 12 tháng.,Agribank và khách hàng thỏa thuận áp dụng cho vay đối với nhu cầu vốn có chu kỳ hoạt động kinh doanh không quá 09 tháng.,3
303,"Cho vay theo hạn mức quy mô nhỏ đối với khách hàng cá nhân, Agribank được áp dụng thời hạn cho vay nào?",Ngắn hạn.,Ngắn hạn và/hoặc trung hạn,"Ngắn hạn, Trung hạn, Dài hạn.","Trung hạn, Dài hạn.",2
304,"Cho vay trung hạn thực hiện dự án kinh doanh, mức cho vay  tối đa là?","A. Mức cho vay tối đa 70% tổng nhu cầu vốn, số còn lại là vốn đối ứng của khách hàng.","B. Mức cho vay tối đa 80% tổng nhu cầu vốn, số còn lại là vốn đối ứng của khách hàng.","C. Mức cho vay tối đa 75% tổng nhu cầu vốn, số còn lại là vốn đối ứng của khách hàng.","D. Mức cho vay tối đa theo yêu cầu của Agribank, số còn lại là vốn đối ứng của khách hàng.",3
305,Chọn câu trả lời đầy đủ nhất:,"A. Cho vay phục vụ nhu cầu đời sống là việc Agribank cho vay đối với khách hàng là cá nhân để thanh toán các chi phí cho mục đích tiêu dùng, gia đình của cá nhân đó.","B. Cho vay phục vụ nhu cầu đời sống là việc Agribank cho vay đối với khách hàng là cá nhân để thanh toán các chi phí cho mục đích tiêu dùng, sinh hoạt cá nhân, gia đình của cá nhân đó.","C. Cho vay phục vụ nhu cầu đời sống là việc Agribankcho vay đối với khách hàng là cá nhân để thanh toán các chi phí cho mục đích sinh hoạt cá nhân, gia đình của cá nhân đó.","D. Cho vay phục vụ nhu cầu đời sống là việc Agribankcho vay đối với khách hàng là cá nhân để thanh toán các chi phí cho mục đích tiêu dùng, sinh hoạt cá nhân,  của cá nhân đó.",2
306,Chọn câu trả lời đúng nhất trong các nhận định sau:,"Hậu kiểm kiểm tra thông tin, xác thực khách hàng (giao dịch phi tài chính) được thực hiện tại phòng/bộ phận nghiệp vụ","Hậu kiểm kiểm tra thông tin, xác thực khách hàng (giao dịch phi tài chính) chỉ được thực hiện tại bộ phận hậu kiểm","Không cần phải hậu kiểm thông tin, xác thực khách hàng (giao dịch phi tài chính)","Hậu kiểm kiểm tra thông tin, xác thực khách hàng (giao dịch phi tài chính) chỉ được thực hiện tại phòng giao dịch",1
307,Chọn câu trả lời đúng nhất: Ân hạn là:,A. Khoảng thời gian kể từ ngày khách hàng nhận tiền vay lần đầu tiên cho đến hết ngày trước liền kề ngày bắt đầu của kỳ trả nợ gốc đầu tiên.,B. Khoảng thời gian kể từ ngày khách hàng nhận tiền vay lần đầu tiên cho đến hết ngày trước ngày bắt đầu của kỳ trả nợ đầu tiên.,C. Khoảng thời gian kể từ ngày khách hàng nhận tiền vay cho đến ngày trước liền kề ngày bắt đầu của kỳ trả nợ gốc đầu tiên.,D. Khoảng thời gian kể từ ngày khách hàng nhận tiền vay lần đầu tiên cho đến ngày bắt đầu của kỳ trả nợ lãi đầu tiên.,1
308,Chọn cây trả lời đầy đủ nhất:,A. Kỳ hạn trả nợ là các khoảng thời gian trong thời hạn cho vay đã thỏa thuận mà tại cuối mỗi khoảng thời gian đó khách hàng phải trả một phần hoặc toàn bộ nợ gốc  tiền vay cho Agribank.,B. Kỳ hạn trả nợ là các khoảng thời gian trong thời hạn cho vay đã thỏa thuận mà tại cuối mỗi khoảng thời gian đó khách hàng phải trả một phần hoặc toàn bộ lãi tiền vay cho Agribank.,C. Kỳ hạn trả nợ là các khoảng thời gian trong thời hạn cho vay đã thỏa thuận mà tại cuối mỗi khoảng thời gian đó khách hàng phải trả một phần hoặc toàn bộ nợ gốc và/hoặc lãi tiền vay cho Agribank.,"D. Kỳ hạn trả nợ là các khoảng thời gian trong thời hạn cho vay đã thỏa thuận mà tại cuối mỗi khoảng thời gian đó khách hàng phải trả một phần hoặc toàn bộ nợ gốc, lãi tiền vay cho Agribank.",3
309,Chọn đáp án đúng,"Trường hợp xác minh thông tin nhận biết khách hàng thông qua việc thuê tổ chức khác, Agribank phải bảo đảm tổ chức được thuê có các biện pháp quản lý rủi ro theo quy định của pháp luật","Trường hợp xác minh thông tin nhận biết khách hàng thông qua việc thuê tổ chức khác, Agribank không phải bảo đảm tổ chức được thuê có các biện pháp quản lý rủi ro theo quy định","Trường hợp xác minh thông tin nhận biết khách hàng thông qua việc thuê tổ chức khác, Agribank phải bảo đảm tổ chức được thuê có các biện pháp quản lý vốn theo quy định của pháp luật","Trường hợp xác minh thông tin nhận biết khách hàng thông qua việc thuê tổ chức khác, Agribank phải bảo đảm tổ chức được thuê có các biện pháp quản lý nhân sự",1
310,Chọn đáp án đúng nhất:,"Tiêu chí nguy cơ rửa tiền (đối với đánh giá rủi ro quốc gia về rửa tiền) bao gồm tiêu chí nguy cơ rửa tiền từ tội phạm nguồn của tội rửa tiền và tiêu chí nguy cơ rửa tiền đối với ngành, lĩnh vực.",Tiêu chí nguy cơ rửa tiền từ tội phạm nguồn của tội rửa tiền bao gồm nguy cơ rửa tiền từ từng tội phạm nguồn trong nước và xuyên quốc gia được đánh giá.,"Tiêu chí nguy cơ rửa tiền đối với ngành, lĩnh vực bao gồm nguy cơ rửa tiền từ từng ngành, lĩnh vực trong nước và xuyên quốc gia được đánh giá.",Tất cả đáp án trên đều đúng,4
